NAME,B19013_001E,metropolitan statistical area/micropolitan statistical area,year
"Aberdeen, WA Micro Area",49623,10140,2016
"Abilene, TX Metro Area",48016,10180,2016
"Adrian, MI Micro Area",51918,10300,2016
"Aguadilla-Isabela, PR Metro Area",14546,10380,2016
"Akron, OH Metro Area",51598,10420,2016
"Alamogordo, NM Micro Area",43646,10460,2016
"Albany, GA Metro Area",40667,10500,2016
"Albany, OR Metro Area",51310,10540,2016
"Albany-Schenectady-Troy, NY Metro Area",65855,10580,2016
"Albertville, AL Micro Area",42362,10700,2016
"Albuquerque, NM Metro Area",50954,10740,2016
"Alexandria, LA Metro Area",42136,10780,2016
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",63022,10900,2016
"Altoona, PA Metro Area",43443,11020,2016
"Amarillo, TX Metro Area",54478,11100,2016
"Ames, IA Metro Area",53371,11180,2016
"Anchorage, AK Metro Area",82203,11260,2016
"Ann Arbor, MI Metro Area",65601,11460,2016
"Anniston-Oxford-Jacksonville, AL Metro Area",41687,11500,2016
"Appleton, WI Metro Area",63902,11540,2016
"Arecibo, PR Metro Area",18428,11640,2016
"Asheville, NC Metro Area",50541,11700,2016
"Ashtabula, OH Micro Area",42965,11780,2016
"Athens, OH Micro Area",36193,11900,2016
"Athens, TX Micro Area",44088,11980,2016
"Athens-Clarke County, GA Metro Area",43165,12020,2016
"Atlanta-Sandy Springs-Roswell, GA Metro Area",62613,12060,2016
"Atlantic City-Hammonton, NJ Metro Area",56778,12100,2016
"Auburn, NY Micro Area",54995,12180,2016
"Auburn-Opelika, AL Metro Area",48056,12220,2016
"Augusta-Richmond County, GA-SC Metro Area",48543,12260,2016
"Augusta-Waterville, ME Micro Area",51573,12300,2016
"Austin-Round Rock, TX Metro Area",71000,12420,2016
"Bakersfield, CA Metro Area",49903,12540,2016
"Baltimore-Columbia-Towson, MD Metro Area",76788,12580,2016
"Bangor, ME Metro Area",47328,12620,2016
"Barnstable Town, MA Metro Area",67898,12700,2016
"Baton Rouge, LA Metro Area",52487,12940,2016
"Battle Creek, MI Metro Area",45902,12980,2016
"Bay City, MI Metro Area",44756,13020,2016
"Beaumont-Port Arthur, TX Metro Area",49364,13140,2016
"Beaver Dam, WI Micro Area",55856,13180,2016
"Beckley, WV Metro Area",44178,13220,2016
"Bellingham, WA Metro Area",56411,13380,2016
"Bend-Redmond, OR Metro Area",61870,13460,2016
"Billings, MT Metro Area",58037,13740,2016
"Binghamton, NY Metro Area",51360,13780,2016
"Birmingham-Hoover, AL Metro Area",52226,13820,2016
"Bismarck, ND Metro Area",65527,13900,2016
"Blacksburg-Christiansburg-Radford, VA Metro Area",50950,13980,2016
