NAME,B19013_001E,metropolitan statistical area/micropolitan statistical area,year
"Aberdeen, WA Micro Area",40019,10140,2010
"Abilene, TX Metro Area",40630,10180,2010
"Adrian, MI Micro Area",45563,10300,2010
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",14313,10380,2010
"Akron, OH Metro Area",46521,10420,2010
"Albany, GA Metro Area",34002,10500,2010
"Albany-Lebanon, OR Micro Area",42900,10540,2010
"Albany-Schenectady-Troy, NY Metro Area",55796,10580,2010
"Albertville, AL Micro Area",39343,10700,2010
"Albuquerque, NM Metro Area",47383,10740,2010
"Alexandria, LA Metro Area",40017,10780,2010
"Allegan, MI Micro Area",44847,10880,2010
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",55630,10900,2010
"Altoona, PA Metro Area",42990,11020,2010
"Amarillo, TX Metro Area",46390,11100,2010
"Ames, IA Metro Area",48034,11180,2010
"Anchorage, AK Metro Area",71490,11260,2010
"Anderson, IN Metro Area",38772,11300,2010
"Anderson, SC Metro Area",36770,11340,2010
"Ann Arbor, MI Metro Area",55880,11460,2010
"Anniston-Oxford, AL Metro Area",36675,11500,2010
"Appleton, WI Metro Area",55883,11540,2010
"Asheville, NC Metro Area",42168,11700,2010
"Ashtabula, OH Micro Area",38751,11780,2010
"Athens, TX Micro Area",36570,11980,2010
"Athens-Clarke County, GA Metro Area",40391,12020,2010
"Atlanta-Sandy Springs-Marietta, GA Metro Area",53182,12060,2010
"Atlantic City-Hammonton, NJ Metro Area",52571,12100,2010
"Auburn, NY Micro Area",49136,12180,2010
"Auburn-Opelika, AL Metro Area",39381,12220,2010
"Augusta-Richmond County, GA-SC Metro Area",44477,12260,2010
"Augusta-Waterville, ME Micro Area",44964,12300,2010
"Austin-Round Rock-San Marcos, TX Metro Area",55744,12420,2010
"Bakersfield-Delano, CA Metro Area",45524,12540,2010
"Baltimore-Towson, MD Metro Area",64812,12580,2010
"Bangor, ME Metro Area",42964,12620,2010
"Barnstable Town, MA Metro Area",55294,12700,2010
"Baton Rouge, LA Metro Area",48294,12940,2010
"Battle Creek, MI Metro Area",42921,12980,2010
"Bay City, MI Metro Area",45451,13020,2010
"Beaumont-Port Arthur, TX Metro Area",41291,13140,2010
"Beaver Dam, WI Micro Area",50797,13180,2010
"Beckley, WV Micro Area",37982,13220,2010
"Bellingham, WA Metro Area",49938,13380,2010
"Bend, OR Metro Area",44680,13460,2010
"Billings, MT Metro Area",47968,13740,2010
"Binghamton, NY Metro Area",45959,13780,2010
"Birmingham-Hoover, AL Metro Area",44216,13820,2010
"Bismarck, ND Metro Area",53403,13900,2010
"Blacksburg-Christiansburg-Radford, VA Metro Area",40127,13980,2010
"Bloomington, IN Metro Area",38143,14020,2010
"Bloomington-Normal, IL Metro Area",59588,14060,2010
"Bloomsburg-Berwick, PA Micro Area",42729,14100,2010
"Bluefield, WV-VA Micro Area",31841,14140,2010
"Boise City-Nampa, ID Metro Area",47237,14260,2010
"Boston-Cambridge-Quincy, MA-NH Metro Area",68020,14460,2010
"Boulder, CO Metro Area",61859,14500,2010
"Bowling Green, KY Metro Area",39092,14540,2010
"Bozeman, MT Micro Area",49506,14580,2010
"Brainerd, MN Micro Area",44028,14660,2010
"Branson, MO Micro Area",35897,14700,2010
"Bremerton-Silverdale, WA Metro Area",56303,14740,2010
"Bridgeport-Stamford-Norwalk, CT Metro Area",74831,14860,2010
"Brownsville-Harlingen, TX Metro Area",31736,15180,2010
"Brunswick, GA Metro Area",39066,15260,2010
"Buffalo-Niagara Falls, NY Metro Area",46420,15380,2010
"Burlington, NC Metro Area",41058,15500,2010
"Burlington-South Burlington, VT Metro Area",54738,15540,2010
"Canton-Massillon, OH Metro Area",42365,15940,2010
"Cape Coral-Fort Myers, FL Metro Area",43936,15980,2010
"Cape Girardeau-Jackson, MO-IL Metro Area",41288,16020,2010
"Carson City, NV Metro Area",52414,16180,2010
"Casper, WY Metro Area",51735,16220,2010
"Cedar Rapids, IA Metro Area",53755,16300,2010
"Centralia, WA Micro Area",38643,16500,2010
"Chambersburg, PA Micro Area",49514,16540,2010
"Champaign-Urbana, IL Metro Area",45845,16580,2010
"Charleston, WV Metro Area",43922,16620,2010
"Charleston-North Charleston-Summerville, SC Metro Area",48062,16700,2010
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",50449,16740,2010
"Charlottesville, VA Metro Area",56808,16820,2010
"Chattanooga, TN-GA Metro Area",42288,16860,2010
"Cheyenne, WY Metro Area",48784,16940,2010
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",57104,16980,2010
"Chico, CA Metro Area",41657,17020,2010
"Chillicothe, OH Micro Area",40811,17060,2010
"Cincinnati-Middletown, OH-KY-IN Metro Area",51572,17140,2010
"Clarksburg, WV Micro Area",38866,17220,2010
"Clarksville, TN-KY Metro Area",42262,17300,2010
"Clearlake, CA Micro Area",34910,17340,2010
"Cleveland, TN Metro Area",37193,17420,2010
"Cleveland-Elyria-Mentor, OH Metro Area",46231,17460,2010
"Coamo, PR Micro Area",15902,17620,2010
"Coeur d'Alene, ID Metro Area",42316,17660,2010
"College Station-Bryan, TX Metro Area",35961,17780,2010
"Colorado Springs, CO Metro Area",51683,17820,2010
"Columbia, MO Metro Area",40853,17860,2010
"Columbia, SC Metro Area",45929,17900,2010
"Columbia, TN Micro Area",45435,17940,2010
"Columbus, GA-AL Metro Area",36553,17980,2010
"Columbus, IN Metro Area",47192,18020,2010
"Columbus, OH Metro Area",51039,18140,2010
"Concord, NH Micro Area",61310,18180,2010
"Cookeville, TN Micro Area",34208,18260,2010
"Coos Bay, OR Micro Area",35955,18300,2010
"Corning, NY Micro Area",45995,18500,2010
"Corpus Christi, TX Metro Area",41994,18580,2010
"Corvallis, OR Metro Area",45913,18700,2010
"Crestview-Fort Walton Beach-Destin, FL Metro Area",51529,18880,2010
"Cullman, AL Micro Area",35786,18980,2010
"Cumberland, MD-WV Metro Area",34847,19060,2010
"Dallas-Fort Worth-Arlington, TX Metro Area",54449,19100,2010
"Dalton, GA Metro Area",39476,19140,2010
"Danville, IL Metro Area",38167,19180,2010
"Danville, VA Metro Area",35964,19260,2010
"Daphne-Fairhope-Foley, AL Micro Area",47502,19300,2010
"Davenport-Moline-Rock Island, IA-IL Metro Area",46310,19340,2010
"Dayton, OH Metro Area",43832,19380,2010
"Decatur, AL Metro Area",42172,19460,2010
"Decatur, IL Metro Area",40919,19500,2010
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",41556,19660,2010
"Denver-Aurora-Broomfield, CO Metro Area",58732,19740,2010
"Des Moines-West Des Moines, IA Metro Area",54685,19780,2010
"Detroit-Warren-Livonia, MI Metro Area",48198,19820,2010
"Dothan, AL Metro Area",38638,20020,2010
"Dover, DE Metro Area",54617,20100,2010
"DuBois, PA Micro Area",36331,20180,2010
"Dubuque, IA Metro Area",49776,20220,2010
"Duluth, MN-WI Metro Area",42083,20260,2010
"Dunn, NC Micro Area",39584,20380,2010
"Durham-Chapel Hill, NC Metro Area",47982,20500,2010
"East Liverpool-Salem, OH Micro Area",35909,20620,2010
"East Stroudsburg, PA Micro Area",54549,20700,2010
"Eau Claire, WI Metro Area",44086,20740,2010
"El Centro, CA Metro Area",41802,20940,2010
"Elizabethtown, KY Metro Area",42363,21060,2010
"Elkhart-Goshen, IN Metro Area",41748,21140,2010
"Elmira, NY Metro Area",47643,21300,2010
"El Paso, TX Metro Area",36015,21340,2010
