msa,income_2010,income_2011,income_2012,income_2013,income_2014,income_2015,income_2016,income_2017,income_2018,income_2019,income_2021,income_2022,income_2023,income_2024
"Aberdeen, WA",40019.0,40993.0,42057.0,41315.0,43356.0,44122.0,49623.0,47445.0,48255.0,61026.0,54631.0,62523.0,67221.0,59619.0
"Abilene, TX",40630.0,40659.0,43407.0,44149.0,44303.0,47420.0,48016.0,51130.0,48021.0,54808.0,54037.0,62660.0,61262.0,63390.0
"Adrian, MI",45563.0,44509.0,48224.0,45938.0,46739.0,48279.0,51918.0,56515.0,55378.0,53865.0,61257.0,67267.0,63952.0,71632.0
"Aguadilla, PR",14313.0,14951.0,15339.0,15323.0,15886.0,14485.0,14546.0,16645.0,17064.0,16311.0,17926.0,19966.0,21290.0,24351.0
"Akron, OH",46521.0,47032.0,49731.0,49984.0,50538.0,51580.0,51598.0,56106.0,60019.0,57158.0,63367.0,66652.0,70125.0,71364.0
"Albany, GA",34002.0,32775.0,34469.0,34756.0,39071.0,40143.0,40667.0,43614.0,44896.0,40625.0,48659.0,48376.0,53056.0,56851.0
"Albany, NY",55796.0,58617.0,60625.0,59626.0,62265.0,63080.0,65855.0,68681.0,71301.0,73398.0,78272.0,80970.0,82410.0,86637.0
"Albany, OR",42900.0,42565.0,43489.0,45130.0,43428.0,47527.0,51310.0,51541.0,54113.0,61488.0,65196.0,67009.0,70548.0,80422.0
"Albertville, AL",39343.0,39245.0,36197.0,38116.0,33446.0,40525.0,42362.0,41476.0,47528.0,49467.0,50191.0,52678.0,60298.0,68048.0
"Albuquerque, NM",47383.0,45027.0,46725.0,48355.0,47581.0,48937.0,50954.0,50906.0,51134.0,58512.0,60070.0,66392.0,67640.0,76097.0
"Alexandria, LA",40017.0,35692.0,40896.0,39960.0,40209.0,42778.0,42136.0,40585.0,47391.0,50553.0,47032.0,56339.0,52390.0,55909.0
"Allentown, PA",55630.0,54169.0,55766.0,56543.0,60320.0,60671.0,63022.0,63944.0,65929.0,70793.0,72058.0,76041.0,81159.0,83974.0
"Altoona, PA",42990.0,43136.0,41258.0,42164.0,44019.0,45432.0,43443.0,45957.0,49942.0,51004.0,57361.0,58022.0,54002.0,66994.0
"Amarillo, TX",46390.0,47350.0,46434.0,49207.0,51280.0,51734.0,54478.0,53922.0,53087.0,53510.0,58354.0,65090.0,63994.0,69595.0
"Ames, IA",48034.0,45866.0,49489.0,50279.0,46091.0,50811.0,53371.0,60351.0,54586.0,62181.0,64569.0,68384.0,72007.0,70873.0
"Anchorage, AK",71490.0,71700.0,71494.0,76831.0,75682.0,78238.0,82203.0,76871.0,81037.0,80676.0,84476.0,95791.0,94150.0,102698.0
"Ann Arbor, MI",55880.0,56612.0,56330.0,59660.0,62845.0,61977.0,65601.0,70286.0,71860.0,76576.0,76918.0,79665.0,83754.0,90523.0
"Anniston, AL",36675.0,39037.0,39169.0,36205.0,41428.0,42346.0,41687.0,46763.0,45818.0,48156.0,46524.0,52819.0,50780.0,52719.0
"Appleton, WI",55883.0,58172.0,60166.0,58410.0,60106.0,61245.0,63902.0,65990.0,65826.0,68335.0,74331.0,78388.0,83966.0,82501.0
"Asheville, NC",42168.0,41969.0,43172.0,43916.0,46917.0,44826.0,50541.0,50015.0,52410.0,57428.0,60261.0,66023.0,67837.0,76275.0
"Athens, GA",40391.0,38663.0,38028.0,38227.0,41761.0,38643.0,43165.0,46521.0,51503.0,50962.0,59628.0,61978.0,67364.0,64951.0
"Athens, TX",36570.0,38278.0,37077.0,38493.0,41112.0,47906.0,44088.0,44971.0,42020.0,51521.0,49830.0,65283.0,59391.0,61275.0
"Atlanta, GA",53182.0,52639.0,54628.0,55733.0,56166.0,60219.0,62613.0,65381.0,69464.0,71742.0,77589.0,84876.0,86505.0,92344.0
"Atlantic City, NJ",52571.0,50829.0,51191.0,52127.0,55313.0,54052.0,56778.0,61777.0,61212.0,63389.0,66388.0,77248.0,80073.0,80806.0
"Auburn, AL",39381.0,42965.0,45043.0,46068.0,39932.0,46589.0,48056.0,52943.0,46456.0,53712.0,52424.0,58549.0,57580.0,68336.0
"Auburn, NY",49136.0,49256.0,50073.0,50154.0,53780.0,53146.0,54995.0,56599.0,52376.0,58665.0,63511.0,64031.0,66166.0,66799.0
"Augusta, GA",44477.0,45368.0,44761.0,44187.0,46689.0,49721.0,48543.0,50492.0,52696.0,55143.0,56515.0,64581.0,67152.0,72176.0
"Augusta, ME",44964.0,44259.0,46014.0,44724.0,44633.0,51335.0,51573.0,53073.0,51653.0,55389.0,60528.0,62943.0,64083.0,75259.0
"Austin, TX",55744.0,56783.0,59433.0,61750.0,63603.0,67195.0,71000.0,73800.0,76925.0,80954.0,86530.0,94604.0,98508.0,99897.0
"Bakersfield, CA",45524.0,45224.0,45910.0,46879.0,47644.0,51342.0,49903.0,49854.0,51579.0,53067.0,58217.0,66234.0,68893.0,71596.0
"Baltimore, MD",64812.0,65463.0,66970.0,68455.0,71501.0,72520.0,76788.0,77394.0,80469.0,83160.0,86302.0,90505.0,94289.0,98666.0
"Bangor, ME",42964.0,40669.0,41653.0,43598.0,42242.0,44173.0,47328.0,50349.0,47217.0,50449.0,56250.0,61134.0,66333.0,66506.0
"Barnstable Town, MA",55294.0,56699.0,59453.0,61026.0,65384.0,66102.0,67898.0,71235.0,68902.0,85042.0,83537.0,91438.0,89893.0,87925.0
"Baton Rouge, LA",48294.0,48441.0,50286.0,51134.0,52091.0,54774.0,52487.0,57401.0,57843.0,60746.0,58276.0,64222.0,64550.0,69293.0
"Battle Creek, MI",42921.0,38666.0,39190.0,44520.0,46088.0,43084.0,45902.0,45386.0,47204.0,49055.0,55192.0,59522.0,57514.0,65024.0
"Bay City, MI",45451.0,43361.0,44548.0,41281.0,46844.0,46560.0,44756.0,44770.0,50606.0,49610.0,56911.0,55134.0,58675.0,64694.0
"Beaumont, TX",41291.0,43176.0,43421.0,45019.0,42494.0,49787.0,49364.0,49875.0,50378.0,58818.0,61429.0,60067.0,62896.0,65775.0
"Beaver Dam, WI",50797.0,51948.0,50781.0,51151.0,53139.0,55832.0,55856.0,56421.0,63077.0,61300.0,65773.0,67762.0,72736.0,78548.0
"Beckley, WV",37982.0,38304.0,40705.0,36781.0,39498.0,37101.0,44178.0,42493.0,38917.0,44785.0,38737.0,52633.0,52437.0,51327.0
"Bellingham, WA",49938.0,51500.0,51458.0,50186.0,53665.0,55016.0,56411.0,61186.0,62268.0,69372.0,72055.0,79220.0,74884.0,86162.0
"Bend, OR",44680.0,46984.0,47576.0,46791.0,52006.0,57373.0,61870.0,66273.0,67577.0,71643.0,79796.0,82052.0,91658.0,95979.0
"Billings, MT",47968.0,46586.0,49255.0,52583.0,51111.0,57249.0,58037.0,58085.0,59623.0,60962.0,70018.0,78781.0,70849.0,77770.0
"Binghamton, NY",45959.0,46323.0,48140.0,46836.0,48188.0,49386.0,51360.0,50545.0,53199.0,53768.0,56968.0,63427.0,64035.0,65599.0
"Birmingham, AL",44216.0,45635.0,46763.0,48328.0,47046.0,51459.0,52226.0,53107.0,56409.0,58366.0,60725.0,67242.0,69284.0,74954.0
"Bismarck, ND",53403.0,58781.0,62028.0,64626.0,63356.0,65173.0,65527.0,66087.0,70550.0,70979.0,67793.0,77969.0,83440.0,86769.0
"Blacksburg, VA",40127.0,40947.0,42455.0,42242.0,43709.0,50947.0,50950.0,52075.0,50313.0,56092.0,54737.0,65496.0,61309.0,65518.0
"Bloomington, IL",59588.0,57799.0,62117.0,61401.0,57592.0,63842.0,61320.0,65936.0,64822.0,68784.0,69612.0,70674.0,77200.0,81240.0
"Bloomington, IN",38143.0,39330.0,38794.0,42085.0,44963.0,44376.0,43693.0,49043.0,47335.0,52526.0,52588.0,64639.0,58666.0,67243.0
"Bloomsburg, PA",42729.0,40628.0,48553.0,48007.0,49670.0,46688.0,50038.0,54137.0,50984.0,56672.0,57046.0,62314.0,63683.0,64360.0
"Bluefield, WV",31841.0,34032.0,32863.0,36047.0,36690.0,37965.0,38488.0,35964.0,39276.0,42713.0,45300.0,45643.0,43015.0,55427.0
"Boise City, ID",47237.0,45065.0,48968.0,49583.0,51826.0,51925.0,55162.0,55324.0,61407.0,66466.0,73343.0,80928.0,82526.0,88695.0
"Boston, MA",68020.0,69455.0,71738.0,72907.0,75667.0,78800.0,82380.0,85691.0,88711.0,94430.0,100750.0,104299.0,110697.0,117825.0
