month_year,mortgage_rate
01_2010,5.03
02_2010,4.99
03_2010,4.9675
04_2010,5.098000000000001
05_2010,4.8875
06_2010,4.7375
07_2010,4.564
08_2010,4.4275
09_2010,4.346
10_2010,4.225
11_2010,4.3
12_2010,4.714
01_2011,4.755
02_2011,4.9525
03_2011,4.836
04_2011,4.84
05_2011,4.6375
06_2011,4.51
07_2011,4.545
08_2011,4.27
09_2011,4.106
10_2011,4.0675
11_2011,3.9925
12_2011,3.9579999999999997
01_2012,3.915
02_2012,3.89
03_2012,3.9539999999999997
04_2012,3.91
05_2012,3.7979999999999996
06_2012,3.675
07_2012,3.55
08_2012,3.6019999999999994
09_2012,3.4975
10_2012,3.3825000000000003
11_2012,3.3519999999999994
12_2012,3.3449999999999998
01_2013,3.414
02_2013,3.5324999999999998
03_2013,3.565
04_2013,3.4450000000000003
05_2013,3.536
06_2013,4.07
07_2013,4.37
08_2013,4.456
09_2013,4.49
10_2013,4.192
11_2013,4.255
12_2013,4.4575
01_2014,4.432
02_2014,4.3025
03_2014,4.3425
04_2014,4.3375
05_2014,4.192
06_2014,4.1625
07_2014,4.13
08_2014,4.115
09_2014,4.1625
10_2014,4.036
11_2014,3.9975
12_2014,3.864
01_2015,3.67
02_2015,3.71
03_2015,3.77
04_2015,3.6719999999999997
05_2015,3.84
06_2015,3.9825
07_2015,4.046
08_2015,3.9050000000000002
09_2015,3.89
10_2015,3.7960000000000003
11_2015,3.9425
12_2015,3.964
01_2016,3.8725
02_2016,3.66
03_2016,3.694
04_2016,3.605
05_2016,3.6
06_2016,3.568
07_2016,3.44
08_2016,3.435
09_2016,3.46
10_2016,3.47
11_2016,3.77
12_2016,4.198
01_2017,4.15
02_2017,4.1675
03_2017,4.196
04_2017,4.045
05_2017,4.01
06_2017,3.904
07_2017,3.9675000000000002
08_2017,3.88
09_2017,3.8049999999999997
10_2017,3.895
11_2017,3.9219999999999997
12_2017,3.95
01_2018,4.032500000000001
02_2018,4.33
03_2018,4.444
04_2018,4.4675
05_2018,4.586
06_2018,4.57
07_2018,4.5275
08_2018,4.55
09_2018,4.6274999999999995
10_2018,4.83
11_2018,4.866
12_2018,4.6375
01_2019,4.464
02_2019,4.37
03_2019,4.265
04_2019,4.1425
05_2019,4.072
06_2019,3.8024999999999998
07_2019,3.765
08_2019,3.6159999999999997
09_2019,3.605
10_2019,3.6879999999999997
11_2019,3.6950000000000003
12_2019,3.72
01_2020,3.624
02_2020,3.4650000000000003
03_2020,3.45
04_2020,3.306
05_2020,3.2325
06_2020,3.1625
07_2020,3.016
08_2020,2.935
09_2020,2.89
10_2020,2.834
11_2020,2.765
12_2020,2.684
01_2021,2.735
02_2021,2.81
03_2021,3.0825
04_2021,3.06
05_2021,2.9625
06_2021,2.975
07_2021,2.868
08_2021,2.8425000000000002
09_2021,2.9
10_2021,3.0675
11_2021,3.0675
12_2021,3.098
01_2022,3.4450000000000003
02_2022,3.7625
03_2022,4.172
04_2022,4.9825
05_2022,5.2299999999999995
06_2022,5.522
07_2022,5.4125
08_2022,5.2225
09_2022,6.112
10_2022,6.9
11_2022,6.805
12_2022,6.364
01_2023,6.2725
02_2023,6.2575
03_2023,6.544
04_2023,6.342499999999999
05_2023,6.425
06_2023,6.714
07_2023,6.84
08_2023,7.072
09_2023,7.2
10_2023,7.62
11_2023,7.442
12_2023,6.815
01_2024,6.6425
02_2024,6.776000000000001
03_2024,6.82
04_2024,6.9925
05_2024,7.06
06_2024,6.9175
07_2024,6.8475
08_2024,6.5
09_2024,6.18
10_2024,6.428
11_2024,6.805
12_2024,6.715
