msa,area_name,state,size_rank,year,income,hvi,mortgage_rate,affordability,predicted_affordability
"Aberdeen, WA",Aberdeen,WA,473,2010,40019.0,144475.85515929994,4.6905833333333335,3.6101815427496926,2.835940264215992
"Aberdeen, WA",Aberdeen,WA,473,2011,40993.0,135285.1103882408,4.4558333333333335,3.300200287567165,2.8886009528660876
"Aberdeen, WA",Aberdeen,WA,473,2012,42057.0,134181.779224043,3.655916666666666,3.1904743377807026,2.9641704727914684
"Aberdeen, WA",Aberdeen,WA,473,2013,41315.0,132038.4042191968,3.9819166666666654,3.195895055529391,2.9191674290473952
"Aberdeen, WA",Aberdeen,WA,473,2014,43356.0,129952.84621076728,4.172833333333333,2.9973439941592237,3.0068476436383538
"Aberdeen, WA",Aberdeen,WA,473,2015,44122.0,133784.86202358486,3.849,3.032157699641559,3.0528843137730317
"Aberdeen, WA",Aberdeen,WA,473,2016,49623.0,146894.4546075494,3.6477083333333336,2.960209068527687,3.3129700280305103
"Aberdeen, WA",Aberdeen,WA,473,2017,47445.0,162207.46934372766,3.991,3.418852763067292,3.2012437186939997
"Aberdeen, WA",Aberdeen,WA,473,2018,48255.0,184879.6136043548,4.539041666666667,3.831304809954508,3.220361832512666
"Aberdeen, WA",Aberdeen,WA,473,2019,61026.0,207935.6323579948,3.93375,3.407328554353797,3.8287517940139097
"Aberdeen, WA",Aberdeen,WA,473,2021,54631.0,292776.5636479643,2.9557083333333334,5.3591653758482245,3.566636790756208
"Aberdeen, WA",Aberdeen,WA,473,2022,62523.0,330143.5469654259,5.3275,5.280353581328885,3.851439791509713
"Aberdeen, WA",Aberdeen,WA,473,2023,67221.0,322486.3456893044,6.795375,4.797404764720912,4.019120660677391
"Aberdeen, WA",Aberdeen,WA,473,2024,59619.0,326426.3086672065,6.7236666666666665,5.475206036116112,3.6713159254971357
"Abilene, TX",Abilene,TX,251,2010,40630.0,107450.93215265656,4.6905833333333335,2.6446205304616432,2.8640859191708166
"Abilene, TX",Abilene,TX,251,2011,40659.0,104133.09627629736,4.4558333333333335,2.561132744934636,2.8732152756894735
"Abilene, TX",Abilene,TX,251,2012,43407.0,105608.22130839218,3.655916666666666,2.432976738968189,3.026358090122095
"Abilene, TX",Abilene,TX,251,2013,44149.0,109253.33569567172,3.9819166666666654,2.4746502909617822,3.049715360539984
"Abilene, TX",Abilene,TX,251,2014,44303.0,115392.21742501354,4.172833333333333,2.604614076360823,3.050471105573245
"Abilene, TX",Abilene,TX,251,2015,47420.0,120833.35321861808,3.849,2.5481516916621274,3.2048063596666654
"Abilene, TX",Abilene,TX,251,2016,48016.0,127221.49491777467,3.6477083333333336,2.649564622579446,3.238943730956202
"Abilene, TX",Abilene,TX,251,2017,51130.0,130786.21431403904,3.991,2.5579153982796603,3.3709928815557464
"Abilene, TX",Abilene,TX,251,2018,48021.0,138286.60337026973,4.539041666666667,2.879711029971673,3.2095826455086907
"Abilene, TX",Abilene,TX,251,2019,54808.0,142891.67534082374,3.93375,2.6071317205667737,3.542320235079218
"Abilene, TX",Abilene,TX,251,2021,54037.0,167364.13096734835,2.9557083333333334,3.097213593784784,3.5392742391307324
"Abilene, TX",Abilene,TX,251,2022,62660.0,186875.2511275801,5.3275,2.982369153009577,3.8577506830462287
"Abilene, TX",Abilene,TX,251,2023,61262.0,192232.207343947,6.795375,3.1378702514437498,3.7446199112898335
"Abilene, TX",Abilene,TX,251,2024,63390.0,195453.92047163527,6.7236666666666665,3.083355741783172,3.8450266699073516
"Adrian, MI",Adrian,MI,393,2010,45563.0,95572.57378910402,4.6905833333333335,2.097591769398504,3.0913240793870975
"Adrian, MI",Adrian,MI,393,2011,44509.0,91184.61555089014,4.4558333333333335,2.048678144889576,3.0505651473360746
"Adrian, MI",Adrian,MI,393,2012,48224.0,92079.57010792464,3.655916666666666,1.9094137796102488,3.2482527217381145
"Adrian, MI",Adrian,MI,393,2013,45938.0,101534.98107477553,3.9819166666666654,2.2102612450427865,3.1321254697284955
"Adrian, MI",Adrian,MI,393,2014,46739.0,111406.67584331096,4.172833333333333,2.3835913443443584,3.1626852061787307
"Adrian, MI",Adrian,MI,393,2015,48279.0,116501.39075227593,3.849,2.4130862435484564,3.2443761102496342
"Adrian, MI",Adrian,MI,393,2016,51918.0,125121.08175179832,3.6477083333333336,2.409974994256295,3.4186889774925753
"Adrian, MI",Adrian,MI,393,2017,56515.0,136988.4237013695,3.991,2.4239303494889763,3.6190523773523555
"Adrian, MI",Adrian,MI,393,2018,55378.0,147144.068388919,4.539041666666667,2.657085275541172,3.548482127509741
"Adrian, MI",Adrian,MI,393,2019,53865.0,154832.33283869436,3.93375,2.8744515518183302,3.4988810327512323
"Adrian, MI",Adrian,MI,393,2021,61257.0,187963.7404277938,2.9557083333333334,3.068445082648412,3.8718628295952673
"Adrian, MI",Adrian,MI,393,2022,67267.0,209744.43536358103,5.3275,3.118088146692747,4.0699716852997065
"Adrian, MI",Adrian,MI,393,2023,63952.0,213006.8306198352,6.795375,3.3307297757667502,3.868534496933822
"Adrian, MI",Adrian,MI,393,2024,71632.0,222754.31040995783,6.7236666666666665,3.109703909006559,4.2246935899362565
"Akron, OH",Akron,OH,83,2010,46521.0,121567.08074409125,4.6905833333333335,2.6131656831128147,3.135454255240979
"Akron, OH",Akron,OH,83,2011,47032.0,115448.75713286066,4.4558333333333335,2.454685259671302,3.166786894391756
"Akron, OH",Akron,OH,83,2012,49731.0,111135.741414778,3.655916666666666,2.234737717214172,3.317672528639784
"Akron, OH",Akron,OH,83,2013,49984.0,114122.89944147744,3.9819166666666654,2.283188609184488,3.3185040621134685
"Akron, OH",Akron,OH,83,2014,50538.0,117305.27020926726,4.172833333333333,2.3211300449021977,3.3376857678372858
"Akron, OH",Akron,OH,83,2015,51580.0,120560.16052775568,3.849,2.3373431664939064,3.396436350848447
"Akron, OH",Akron,OH,83,2016,51598.0,126631.50120313268,3.6477083333333336,2.454193984323669,3.4039482089401303
"Akron, OH",Akron,OH,83,2017,56106.0,132711.29436309217,3.991,2.3653672399225067,3.600211832546262
"Akron, OH",Akron,OH,83,2018,60019.0,140737.65156826685,4.539041666666667,2.344884979227692,3.762269336421916
"Akron, OH",Akron,OH,83,2019,57158.0,148738.01404930642,3.93375,2.6022256560640056,3.6505727541362343
"Akron, OH",Akron,OH,83,2021,63367.0,178794.20747359018,2.9557083333333334,2.8215665484177914,3.9690597722379497
"Akron, OH",Akron,OH,83,2022,66652.0,195043.3151801664,5.3275,2.9262935122751963,4.041641770737977
"Akron, OH",Akron,OH,83,2023,70125.0,204654.50235786563,6.795375,2.9184242760479946,4.152893135290826
"Akron, OH",Akron,OH,83,2024,71364.0,217990.3217234729,6.7236666666666665,3.054625885929501,4.2123481962735845
