msa,state,size_rank,hvi_2010,hvi_2011,hvi_2012,hvi_2013,hvi_2014,hvi_2015,hvi_2016,hvi_2017,hvi_2018,hvi_2019,hvi_2021,hvi_2022,hvi_2023,hvi_2024,area_name
"Aberdeen, SD",SD,677,128466.01822340832,129721.7640847065,136844.32018555238,144571.99903199848,144842.5877552957,142865.01082001784,146254.5538814893,150959.50288117243,156119.80037591865,163390.13922413441,190378.87328862376,208634.24507663693,213201.60401102575,218334.8592455668,Aberdeen
"Aberdeen, WA",WA,473,144475.85515929994,135285.1103882408,134181.779224043,132038.4042191968,129952.84621076728,133784.86202358486,146894.4546075494,162207.46934372766,184879.61360435482,207935.63235799476,292776.5636479643,330143.5469654259,322486.3456893044,326426.3086672065,Aberdeen
"Abilene, TX",TX,251,107450.93215265655,104133.09627629735,105608.22130839218,109253.33569567172,115392.21742501354,120833.35321861807,127221.49491777469,130786.21431403904,138286.60337026973,142891.67534082374,167364.13096734835,186875.25112758006,192232.207343947,195453.92047163527,Abilene
"Ada, OK",OK,720,111218.2180469182,109442.31640617973,106647.77076951349,104595.09016338794,105965.28323328281,111292.31081963262,113452.74973429559,110952.37963658762,119259.67050575426,119461.23750242981,148306.34439948862,172989.70881589458,179550.2125653509,179987.71498415517,Ada
"Adrian, MI",MI,393,95572.57378910402,91184.61555089014,92079.57010792464,101534.98107477553,111406.67584331096,116501.39075227593,125121.08175179832,136988.4237013695,147144.068388919,154832.33283869436,187963.7404277938,209744.43536358103,213006.8306198352,222754.31040995786,Adrian
"Akron, OH",OH,83,121567.08074409125,115448.75713286066,111135.74141477801,114122.89944147745,117305.27020926726,120560.16052775567,126631.50120313268,132711.29436309217,140737.65156826683,148738.01404930642,178794.20747359018,195043.31518016636,204654.50235786565,217990.3217234729,Akron
"Alamogordo, NM",NM,493,,,,,,,120833.56310915534,122871.43639624257,128142.78421502495,133154.7520471262,162619.87249387012,190667.58220325573,204100.0319164267,214688.41975331455,Alamogordo
"Albany, GA",GA,295,105549.77660630112,99616.06283666186,97087.87510763491,96701.01535182417,95005.47107874871,95006.35324654017,94643.15290805571,91938.54540501192,98166.36881367747,102848.75745116733,124964.9919298864,145763.47548147925,154083.0246024643,163843.50110802776,Albany
"Albany, NY",NY,64,210214.2559129166,203326.70714957823,199506.38023679634,201621.25401199693,202844.83285638542,204415.10353587792,209197.8583149874,216002.60746581838,226411.2224029991,234802.53933584635,274163.48409613274,300581.40649893315,315575.0944755014,335298.1687558249,Albany
"Albany, OR",OR,330,157912.24567970537,148362.1105322258,148413.78370147623,154140.73361022244,162231.18435137314,173753.56203761697,193046.36288416237,216481.2435303096,243265.53402611482,263008.2435824803,337983.87897502916,384323.95508217596,386249.5795667176,398292.73313859664,Albany
"Albemarle, NC",NC,526,,,,,,,136323.63930689078,144982.34911683484,156027.93903283562,165468.00992422178,219142.17142534742,260338.69002469582,272028.9906196032,287430.40949260216,Albemarle
"Albert Lea, MN",MN,814,,,84656.37012587326,85572.65375599328,89455.86535218685,92728.22156223742,100262.43167332491,107735.87674152316,115056.10235286057,124500.23673577893,150791.53217864313,167466.41305346103,177537.04464573637,183871.4976385558,Albert Lea
"Albertville, AL",AL,406,108381.22851335806,106024.78880756996,111735.19214957517,118890.09999308946,124547.47435092082,126371.82427165266,131519.131812716,132392.70555337946,139825.53304825458,151608.17689784226,190521.86257082937,218598.72558289793,221439.28117860612,231718.63009365601,Albertville
"Albuquerque, NM",NM,62,177824.64167486268,167761.57694914797,163000.25898481696,165393.24489183156,168007.48567419322,171839.17143073393,179373.8674890109,185179.80518224757,192819.2059233185,204714.94745600419,260677.8276407194,301980.08869954775,316162.0649124578,333001.42579073255,Albuquerque
"Alexandria, LA",LA,286,115490.84421671329,115323.42066845577,121504.46835100233,129772.4119720419,131041.6786522157,135761.2984813912,142954.5672515582,143220.9382940555,148273.02707412324,150233.09588197127,159754.8702733276,164683.75827310013,169500.20149763758,164405.44209406542,Alexandria
"Alexandria, MN",MN,711,173318.2157696215,160584.54857409172,162200.7580577739,168066.33571951886,174601.87291169408,184368.39223485484,195668.48076075513,204346.4932298914,214510.51995437057,226253.52353750457,267405.9239920999,297674.63347315724,306698.9642058598,321406.40987181023,Alexandria
"Alice, TX",TX,609,148427.9898550012,146492.49208930897,144801.52986356398,145818.9648094571,142859.16020807147,145310.07047693065,143955.5895615211,136507.7479227156,132522.7265580583,138483.51686790131,142960.1161410881,136974.87471171338,129906.37028370665,123802.79812148843,Alice
"Allentown, PA",PA,70,202043.79819361455,189974.7153425858,181284.9141377772,180341.15931399856,186223.7641242597,187612.22265023467,192556.2256545934,199178.44448372247,208718.5702144827,216368.06723780112,265664.994230208,298767.5502192817,314418.2859520346,335797.52437249135,Allentown
"Alma, MI",MI,684,90123.26222811834,88455.88602331323,90184.3369558964,97987.3477525902,100089.29388047308,100185.84409261576,106146.63952438527,111669.13154708658,117706.16822455837,119231.00756891804,151028.72792701752,161461.71080591588,163733.33916668582,160916.89111306806,Alma
"Alpena, MI",MI,824,94445.16947247455,92530.38015327459,93901.09883345838,109264.83664052187,111400.42512575415,107323.3520388198,112062.62262491796,114226.58915285337,122564.61056318594,118809.82746859356,141430.60252644008,159367.40916619138,169362.0289345612,175136.57514531133,Alpena
"Altoona, PA",PA,340,106134.79915942963,103890.75611531684,113023.33429637668,116986.60314798208,117842.31765308644,120571.74134476883,125704.16417331946,132160.52214245408,130661.59898368073,132432.43899044383,150024.80568828728,151736.21701611447,151112.2556928575,155404.93338744517,Altoona
"Altus, OK",OK,864,73691.25387782446,73645.60168532793,75959.27119997892,78680.42727356016,78490.58214335116,76500.5744509771,78066.5102955819,77466.40372609628,78901.48968698284,83901.28669208835,95067.51051162585,106766.72836167134,107954.29220645472,115838.88847551554,Altus
"Amarillo, TX",TX,186,121914.56234812441,119325.97191585497,117519.49475715071,118947.59278268454,122277.03831225524,126293.34841165361,131355.41325869373,136122.13450119,140436.42326166306,144837.83530358117,170290.48796181203,194807.47475825108,202399.87814265033,207927.61041950947,Amarillo
"Americus, GA",GA,779,93242.8255805314,86330.24275859229,84324.39753345403,85958.77833722402,83619.44786578299,83248.15493409497,82962.70199048718,78705.66573837654,82827.27307329515,86982.79986570835,108109.29289135725,124709.75862897972,127433.96179024584,135044.71668492377,Americus
"Ames, IA",IA,336,140810.37858491926,140645.43312018798,140455.33684141518,144653.71009801517,155362.23641616976,164398.20583264448,171732.34381251349,179224.87033587674,185045.9923486706,188393.00536089597,211077.2973503036,232705.79816026063,243006.21144239313,245441.90159812255,Ames
